pr_number,pr_title,bug_description,severity,caught,evidence,confidence
8087,"Async import of the appStore packages","Consider adding try-catch around the await to handle import failures gracefully",Low,NO,"",0.0
8087,"Async import of the appStore packages","The code uses forEach with async callbacks, which causes asynchronous operations (e.g., calendar/vid",Critical,YES,"Array.forEach does not await the return value of its callback. These async callbacks return promises that nobody awaits.",0.99
10600,"feat: 2fa backup codes","The exported function TwoFactor handles backup codes and is in BackupCode.tsx. Inconsistent naming.",Low,YES,"BackupCode.tsx exports as TwoFactor — line 7. The file is BackupCode.tsx but the component function is named TwoFactor. ",0.97
10600,"feat: 2fa backup codes","Error message mentions 'backup code login' but this is a disable endpoint, not login",Low,NO,"",0.0
10600,"feat: 2fa backup codes","Backup code validation is case-sensitive due to the use of indexOf(). This causes validation to fail",Medium,NO,"",0.0
10600,"feat: 2fa backup codes","Because backupCodes are decrypted and mutated in memory before being written back, two concurrent lo",High,NO,"",0.0
10967,"fix: handle collective multiple host on destinationCalendar","Potential null reference if mainHostDestinationCalendar is undefined if evt.destinationCalendar is n",High,YES,"If `destinationCalendar` is `null` or empty array, `mainHostDestinationCalendar` is `undefined`, and accessing `.integra",0.99
10967,"fix: handle collective multiple host on destinationCalendar","The optional chaining on mainHostDestinationCalendar?.integration is redundant since you already che",Low,NO,"",0.0
10967,"fix: handle collective multiple host on destinationCalendar","Logic error: when externalCalendarId is provided, you're searching for a calendar where externalId =",High,NO,"",0.0
10967,"fix: handle collective multiple host on destinationCalendar","Logic inversion in organization creation: The slug property is now conditionally set when IS_TEAM_BI",Medium,YES,"These are **not semantically equivalent**. The original spreads `slug` when billing is **disabled**. The replacement spr",0.9
10967,"fix: handle collective multiple host on destinationCalendar","The Calendar interface now requires createEvent(event, credentialId), but some implementations (e.g.",Low,YES,"`createEvent` signature change breaks the interface contract inconsistently — `packages/types/Calendar.d.ts` now require",0.97
22345,"feat: convert InsightsBookingService to use Prisma.sql raw queries","In getBaseConditions(), the else if (filterConditions) and final else branches are unreachable. This",Low,YES,"authConditions is *never* null — buildAuthorizationConditions always returns a Prisma.Sql. So the filterConditions-only ",0.99
22345,"feat: convert InsightsBookingService to use Prisma.sql raw queries","Fetching userIdsFromOrg only when teamsFromOrg.length > 0 can exclude org-level members for orgs wit",Medium,NO,"",0.0
7232,"Comprehensive workflow reminder management for booking lifecycle events","Asynchronous functions deleteScheduledEmailReminder and deleteScheduledSMSReminder are called withou",Medium,YES,"forEach with async callbacks doesn't await anything. These promises are floating. If any of them fail, you'll get unhand",0.99
7232,"Comprehensive workflow reminder management for booking lifecycle events","When immediateDelete is true, the deleteScheduledEmailReminder function cancels the SendGrid email b",High,YES,"Why does cancelling an email with `immediateDelete: true` skip the DB deletion? That's a leaked record waiting to happen",0.98
8330,"Advanced date override handling and timezone compatibility improvements","Incorrect end time calculation using slotStartTime instead of slotEndTime",Medium,YES,"`start` and `end` are computed identically — both from `slotStartTime`. The `end` should be derived from `slotEndTime`.",0.99
8330,"Advanced date override handling and timezone compatibility improvements","Using === for dayjs object comparison will always return false as it compares object references, not",Medium,YES,"This will **never** be true. `===` on two different Dayjs objects is a reference comparison, not a value comparison. You",0.99
11059,"OAuth credential sync and app integration enhancements","The parseRefreshTokenResponse function incorrectly sets refresh_token to the hardcoded string 'refre",High,YES,"You're mutating the parsed result to inject a literal string ""refresh_token"" as the refresh token value when one isn't p",0.97
11059,"OAuth credential sync and app integration enhancements","Invalid Zod schema syntax. Computed property keys like [z.string().toString()] are not valid in Zod ",High,YES,"This is not how Zod works. `z.string().toString()` produces a string representation of the Zod type definition, not a dy",0.97
11059,"OAuth credential sync and app integration enhancements","parseRefreshTokenResponse returns a Zod safeParse result ({ success, data, error }), not the credent",High,YES,"The function returns a SafeParseReturnType (the result of .safeParse()), but then the callers use it inconsistently: Goo",0.97
11059,"OAuth credential sync and app integration enhancements","When APP_CREDENTIAL_SHARING_ENABLED and CALCOM_CREDENTIAL_SYNC_ENDPOINT are set, the refreshFunction",High,YES,"When `APP_CREDENTIAL_SHARING_ENABLED` is true, it returns a `fetch` `Response` object. When false, it returns whatever `",0.97
11059,"OAuth credential sync and app integration enhancements","When the sync endpoint path is used, res is a fetch Response and has no .data; res?.data will be und",High,YES,"When APP_CREDENTIAL_SHARING_ENABLED is true, it returns a fetch Response object. When false, it returns whatever refresh",0.9
14943,"SMS workflow reminder retry count tracking","Using retryCount: reminder.retryCount + 1 reads a possibly stale value and can lose increments under",High,NO,"",0.0
14943,"SMS workflow reminder retry count tracking","The deletion logic in scheduleSMSReminders.ts incorrectly deletes non-SMS workflow reminders (e.g., ",High,YES,"The `OR` branch deleting reminders where `retryCount > 1` has **no method filter**. ... any `WorkflowReminder` — email, ",0.99
14740,"Add guest management functionality to existing bookings","Case sensitivity bypass in email blacklist",High,NO,"",0.0
14740,"Add guest management functionality to existing bookings","The logic for checking team admin/owner permissions is incorrect. This condition uses AND (&&) which",Critical,YES,"This uses `&&` (AND) — meaning you must be **both** admin AND owner. That's almost certainly wrong; it should be `||` (O",0.99
14740,"Add guest management functionality to existing bookings","This calls the email sender with the original guests, so existing attendees included in the input wi",Medium,NO,"",0.0
14740,"Add guest management functionality to existing bookings","uniqueGuests filters out existing attendees and blacklisted emails but does not deduplicate duplicat",Medium,YES,"Duplicate validation schema — the server schema doesn't check uniqueness, the client schema does. Pick one source of tru",0.75
14740,"Add guest management functionality to existing bookings","Starting with an array containing an empty string may cause validation issues. Consider starting wit",Low,YES,"`multiEmailValue` initialized with `[""\""\""']` not `[]` in the dialog. That means the dialog opens with one empty input f",0.6
22532,"feat: add calendar cache status and actions (#22532)","The updateManyByCredentialId call uses an empty data object, which prevents Prisma's @updatedAt deco",Medium,YES,"You're passing an empty data object to updateMany to trigger Prisma's implicit updatedAt behavior... you're relying on P",0.65
22532,"feat: add calendar cache status and actions (#22532)","logic: macOS-specific sed syntax with empty string after -i flag will fail on Linux systems",Low,NO,"",0.0
